2026-06-23 18:51:35 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:35 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"customer":{"customer_id":"CUST-1001","name":"John Doe","username":"john.doe"},"expires_in":3600,"token":"mock-token-42f9c6497f7d48d1a22c290f6994575d","token_type":"Bearer"}

2026-06-23 18:51:35 | INFO     | RequestHelper | GET http://127.0.0.1:5001/accounts/ACC-1001
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"account_id":"ACC-1001","account_type":"SAVINGS","balance":7500.75,"currency":"USD","customer_id":"CUST-1001","status":"ACTIVE"}

2026-06-23 18:51:35 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:35 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"customer":{"customer_id":"CUST-1001","name":"John Doe","username":"john.doe"},"expires_in":3600,"token":"mock-token-151eef6ec07246f7909e528bac4521cd","token_type":"Bearer"}

2026-06-23 18:51:35 | INFO     | RequestHelper | GET http://127.0.0.1:5001/accounts
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"accounts":[{"account_id":"ACC-1001","account_type":"SAVINGS","balance":7500.75,"currency":"USD","customer_id":"CUST-1001","status":"ACTIVE"},{"account_id":"ACC-FROZEN","account_type":"SAVINGS","balance":100.0,"currency":"USD","customer_id":"CUST-1001","status":"FROZEN"}]}

2026-06-23 18:51:35 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:35 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"customer":{"customer_id":"CUST-1001","name":"John Doe","username":"john.doe"},"expires_in":3600,"token":"mock-token-3c1da35ed2dd46d09a85f635c5b5c142","token_type":"Bearer"}

2026-06-23 18:51:35 | INFO     | RequestHelper | GET http://127.0.0.1:5001/accounts/ACC-1001/balance
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"account_id":"ACC-1001","available_balance":7500.75,"currency":"USD","status":"ACTIVE"}

2026-06-23 18:51:35 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:35 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"customer":{"customer_id":"CUST-1001","name":"John Doe","username":"john.doe"},"expires_in":3600,"token":"mock-token-41f8292407e74a07866847951dbde45b","token_type":"Bearer"}

2026-06-23 18:51:35 | INFO     | RequestHelper | GET http://127.0.0.1:5001/accounts/ACC-DOES-NOT-EXIST
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 404
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"error":"account not found"}

2026-06-23 18:51:35 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:35 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"customer":{"customer_id":"CUST-1001","name":"John Doe","username":"john.doe"},"expires_in":3600,"token":"mock-token-7cfcb29e046f470d994318e493f68e9c","token_type":"Bearer"}

2026-06-23 18:51:35 | INFO     | RequestHelper | GET http://127.0.0.1:5001/accounts/ACC-404/balance
2026-06-23 18:51:35 | INFO     | RequestHelper | Response status: 404
2026-06-23 18:51:35 | INFO     | RequestHelper | Response body: {"error":"account not found"}

2026-06-23 18:51:36 | INFO     | RequestHelper | GET http://127.0.0.1:5001/accounts/ACC-1001
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 401
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"error":"unauthorized"}

2026-06-23 18:51:36 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:36 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"customer":{"customer_id":"CUST-1001","name":"John Doe","username":"john.doe"},"expires_in":3600,"token":"mock-token-c889a0cde4a74496bdaf95f706df9aaa","token_type":"Bearer"}

2026-06-23 18:51:36 | INFO     | RequestHelper | POST http://127.0.0.1:5001/beneficiaries
2026-06-23 18:51:36 | INFO     | RequestHelper | Request payload: {'name': 'Michael Fleming', 'bank_name': 'Kelly, Sanchez and Burnett Bank', 'account_number': '888877776666', 'ifsc': 'BANK09571', 'nickname': 'newpayee'}
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 201
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"account_number":"888877776666","bank_name":"Kelly, Sanchez and Burnett Bank","beneficiary_id":"BEN-54398C18","created_at":"2026-06-23T13:21:36.054219+00:00","ifsc":"BANK09571","name":"Michael Fleming","nickname":"newpayee"}

2026-06-23 18:51:36 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:36 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"customer":{"customer_id":"CUST-1001","name":"John Doe","username":"john.doe"},"expires_in":3600,"token":"mock-token-49b6400e911045ca97ca4b7ae40be1cf","token_type":"Bearer"}

2026-06-23 18:51:36 | INFO     | RequestHelper | GET http://127.0.0.1:5001/beneficiaries
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"beneficiaries":[{"account_number":"999900001111","bank_name":"Demo Federal Bank","beneficiary_id":"BEN-1001","created_at":"2026-06-23T13:21:36.075633+00:00","ifsc":"BANK01234","name":"Jane Smith","nickname":"jane"}]}

2026-06-23 18:51:36 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:36 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"customer":{"customer_id":"CUST-1001","name":"John Doe","username":"john.doe"},"expires_in":3600,"token":"mock-token-a66e9bc8f02549988862971d72e324e3","token_type":"Bearer"}

2026-06-23 18:51:36 | INFO     | RequestHelper | POST http://127.0.0.1:5001/beneficiaries
2026-06-23 18:51:36 | INFO     | RequestHelper | Request payload: {'name': 'Cameron Robles', 'bank_name': 'Cummings Ltd Bank', 'account_number': '777766665555', 'ifsc': 'BANK04082', 'nickname': 'felicia'}
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 201
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"account_number":"777766665555","bank_name":"Cummings Ltd Bank","beneficiary_id":"BEN-57D59C63","created_at":"2026-06-23T13:21:36.131508+00:00","ifsc":"BANK04082","name":"Cameron Robles","nickname":"felicia"}

2026-06-23 18:51:36 | INFO     | RequestHelper | DELETE http://127.0.0.1:5001/beneficiaries/BEN-57D59C63
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"message":"beneficiary deleted"}

2026-06-23 18:51:36 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:36 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 200
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"customer":{"customer_id":"CUST-1001","name":"John Doe","username":"john.doe"},"expires_in":3600,"token":"mock-token-4d72305d58a64183beefd8da7cad3349","token_type":"Bearer"}

2026-06-23 18:51:36 | INFO     | RequestHelper | POST http://127.0.0.1:5001/beneficiaries
2026-06-23 18:51:36 | INFO     | RequestHelper | Request payload: {'name': 'Kimberly Bailey', 'bank_name': 'Jordan-Scott Bank', 'account_number': '123412341234', 'ifsc': 'BANK05141', 'nickname': 'repeat'}
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 201
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"account_number":"123412341234","bank_name":"Jordan-Scott Bank","beneficiary_id":"BEN-803DE0F2","created_at":"2026-06-23T13:21:36.179413+00:00","ifsc":"BANK05141","name":"Kimberly Bailey","nickname":"repeat"}

2026-06-23 18:51:36 | INFO     | RequestHelper | POST http://127.0.0.1:5001/beneficiaries
2026-06-23 18:51:36 | INFO     | RequestHelper | Request payload: {'name': 'Kimberly Bailey', 'bank_name': 'Jordan-Scott Bank', 'account_number': '123412341234', 'ifsc': 'BANK05141', 'nickname': 'repeat'}
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 409
2026-06-23 18:51:36 | INFO     | RequestHelper | Response body: {"error":"beneficiary already exists"}

2026-06-23 18:51:36 | INFO     | RequestHelper | POST http://127.0.0.1:5001/auth/login
2026-06-23 18:51:36 | INFO     | RequestHelper | Request payload: {'username': 'john.doe', 'password': 'SecurePass123!'}
2026-06-23 18:51:36 | INFO     | RequestHelper | Response status: 200
